City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
texarkana,US,33.4251,-94.0477,61.14,41,0,18.41,1644595983
santa rosa,PH,14.3122,121.1114,79.11,74,87,13.06,1644595984
manokwari,ID,-0.8667,134.0833,77.34,83,96,3.74,1644595984
severo-kurilsk,RU,50.6789,156.125,22.77,86,96,3.65,1644595984
prince albert,CA,53.2001,-105.7677,-14.78,97,89,4.23,1644595734
marathon,US,44.9,-89.7668,38.44,82,100,14.97,1644595985
angoche,MZ,-16.2325,39.9086,80.64,78,100,7.61,1644595985
norman wells,CA,65.282,-126.8329,-13.13,100,100,1.57,1644595985
ballina,AU,-28.8667,153.5667,68.18,91,72,14.92,1644595985
semnan,IR,35.5729,53.3971,48.61,62,100,1.68,1644595986
seredka,RU,58.1584,28.1858,31.75,94,72,5.57,1644595986
nanortalik,GL,60.1432,-45.2371,30.43,75,100,6.13,1644595986
machali,CL,-34.1833,-70.6667,72.68,53,8,8.05,1644595987
codrington,AU,-38.2667,141.9667,56.73,76,9,11.77,1644595987
iqaluit,CA,63.7506,-68.5145,-2.31,84,100,8.34,1644595987
souillac,MU,-20.5167,57.5167,77.36,79,81,5.55,1644595987
lavrentiya,RU,65.5833,-171.0,-26.48,95,62,6.58,1644595937
provideniya,RU,64.3833,-173.3,-17.99,94,14,9.44,1644595988
togur,RU,58.3631,82.8265,-11.13,100,16,4.97,1644595988
pangnirtung,CA,66.1451,-65.7125,0.91,82,100,6.62,1644595988
swan hill,AU,-35.3378,143.5544,58.33,58,0,12.06,1644595989
arklow,IE,52.7931,-6.1414,46.98,77,100,20.65,1644595989
la rioja,ES,42.25,-2.5,51.31,73,98,3.78,1644595989
zlobin,HR,45.2924,14.6541,44.15,87,75,4.61,1644595990
puerto ayora,EC,-0.7393,-90.3518,80.56,89,47,1.99,1644595990
guider,CM,9.9342,13.9486,89.53,7,7,10.07,1644595990
santa cruz,BO,-17.8,-63.1667,89.65,58,75,17.27,1644595855
laukaa,RU,58.7372,29.8453,30.9,81,99,11.01,1644595991
gwadar,PK,25.1216,62.3254,71.37,55,0,11.45,1644595991
negotin,RS,44.2264,22.5308,52.7,56,3,7.61,1644595991
hanmer springs,NZ,-42.5167,172.8167,59.61,94,100,0.83,1644595991
bahir dar,ET,11.5936,37.3908,75.45,40,62,4.27,1644595992
nkoteng,CM,4.5167,12.0333,95.72,10,64,2.44,1644595992
torbay,CA,47.6666,-52.7314,42.89,78,100,14.41,1644595993
shakawe,BW,-18.3667,21.85,68.09,82,99,7.83,1644595993
conceicao da barra,BR,-18.5933,-39.7322,86.25,57,50,8.41,1644595993
narsaq,GL,60.9167,-46.05,25.02,66,100,6.49,1644595994
patti,IN,31.2808,74.8572,62.55,56,2,3.22,1644595994
airai,TL,-8.9266,125.4092,60.89,94,100,1.48,1644595994
constitucion,CL,-35.3333,-72.4167,69.64,37,0,11.68,1644595994
meadow lake,US,34.8014,-106.5436,48.58,59,1,10.51,1644595995
port keats,AU,-14.25,129.55,80.96,81,6,0.11,1644595995
ratnagiri,IN,16.9833,73.3,77.09,58,8,10.74,1644595995
sorland,NO,67.667,12.6934,24.87,48,93,12.01,1644595996
bima,ID,-8.4667,118.7167,76.89,93,100,0.98,1644595996
tezu,IN,27.9167,96.1667,55.42,68,28,3.96,1644595996
longyearbyen,SJ,78.2186,15.6401,19.24,93,75,4.61,1644595997
salinas,US,36.6777,-121.6555,63.7,55,0,10.36,1644595940
husavik,IS,66.0449,-17.3389,18.73,85,100,6.08,1644595997
huejuquilla el alto,MX,22.6,-103.8667,52.75,23,0,1.43,1644595706
sokoni,TZ,-6.4333,39.55,81.01,77,80,13.69,1644595997
naigarhi,IN,24.7833,81.7833,56.32,40,0,6.04,1644595750
pirgos,GR,35.1167,25.7178,53.28,74,2,2.66,1644595998
fairbanks,US,64.8378,-147.7164,-5.08,75,0,9.22,1644595845
dodge city,US,37.7528,-100.0171,47.25,61,0,28.77,1644595752
san patricio,US,28.017,-97.5169,67.87,58,0,5.79,1644595998
karasjok,NO,69.4719,25.5112,26.71,85,99,14.45,1644595998
gillette,US,44.2911,-105.5022,29.68,87,100,28.77,1644595778
port hardy,CA,50.6996,-127.4199,40.75,84,95,1.68,1644595999
kattivakkam,IN,13.2167,80.3167,81.07,72,35,11.27,1644595999
namatanai,PG,-3.6667,152.4333,78.17,82,100,2.82,1644595999
altay,CN,47.8667,88.1167,-0.47,72,9,8.25,1644596000
quang ngai,VN,15.1167,108.8,73.22,88,100,1.25,1644596000
wanaka,NZ,-44.7,169.15,58.1,81,94,1.01,1644596000
iwanai,JP,42.9744,140.5089,17.31,92,96,5.59,1644596001
grindavik,IS,63.8424,-22.4338,32.47,64,75,14.97,1644596001
belmonte,BR,-15.8631,-38.8828,84.7,61,20,9.53,1644596001
raudeberg,NO,61.9875,5.1352,38.07,93,100,8.01,1644596001
muriwai beach,NZ,-36.8167,174.45,75.34,95,95,5.99,1644596002
katima mulilo,NA,-17.5,24.2667,68.04,96,100,6.15,1644596002
irpa irpa,BO,-17.7167,-66.2667,77.0,42,64,3.47,1644596002
talnakh,RU,69.4865,88.3972,-9.74,87,100,10.16,1644596003
baraboo,US,43.4711,-89.7443,41.14,84,100,9.22,1644596003
orapa,BW,-21.2833,25.3667,88.92,23,92,8.57,1644596003
carnarvon,AU,-24.8667,113.6333,82.47,65,10,8.05,1644596004
saint anthony,US,45.0205,-93.218,25.99,81,100,23.02,1644596004
abbeville,FR,50.1,1.8333,47.61,67,23,1.03,1644596004
suleja,NG,9.1758,7.1808,96.94,6,17,4.16,1644596005
ouallam,NE,14.3188,2.0866,92.46,5,0,9.71,1644596005
te anau,NZ,-45.4167,167.7167,53.47,91,81,1.5,1644596005
yuanping,CN,38.7153,112.7575,29.82,45,64,2.62,1644596006
atasu,KZ,48.6814,71.6433,15.24,87,100,11.14,1644596006
sambava,MG,-14.2667,50.1667,78.28,83,25,6.62,1644596006
ariquemes,BR,-9.9133,-63.0408,82.89,82,98,3.67,1644596007
maba,CN,24.6841,113.5984,51.49,95,100,3.04,1644596007
beira,MZ,-19.8436,34.8389,79.74,68,14,10.2,1644596007
colinas,BR,-6.0258,-44.2492,82.22,79,100,2.59,1644596007
katherine,AU,-14.4667,132.2667,84.52,74,75,0.0,1644596008
zyryanka,RU,65.75,150.85,-37.95,99,39,5.53,1644596008
yar-sale,RU,66.8333,70.8333,1.13,80,71,17.94,1644596008
sawtell,AU,-30.3833,153.1,68.02,83,75,13.8,1644596009
xixiang,CN,35.1628,112.865,39.56,63,8,3.18,1644596009
saint-philippe,RE,-21.3585,55.7679,80.19,78,42,8.01,1644596009
victoria,HK,22.2855,114.1577,67.95,88,57,9.26,1644595972
gorgan,IR,36.8387,54.4348,46.36,87,100,0.0,1644596010
halifax,CA,44.6453,-63.5724,45.09,69,47,15.01,1644596000
kununurra,AU,-15.7667,128.7333,80.58,83,75,1.14,1644596010
bo phloi,TH,14.3236,99.5161,79.2,73,98,2.48,1644596010
mount gambier,AU,-37.8333,140.7667,52.74,83,3,7.65,1644596011
necochea,AR,-38.5473,-58.7368,66.04,56,100,18.66,1644596011
torbat-e jam,IR,35.244,60.6225,46.09,59,12,9.73,1644596011
manadhoo,MV,5.7667,73.3833,82.15,70,80,5.97,1644596011
kodinsk,RU,58.6881,99.1844,-18.81,100,54,0.92,1644596012
new ulm,US,44.3125,-94.4605,19.54,72,100,35.68,1644596012
klaksvik,FO,62.2266,-6.589,36.52,69,100,10.13,1644596012
flinders,AU,-34.5833,150.8552,71.2,85,68,10.0,1644596013
verkhoyansk,RU,67.5447,133.385,-33.52,99,95,1.99,1644596013
coihaique,CL,-45.5752,-72.0662,60.75,44,20,8.05,1644595753
desur,IN,12.4333,79.4833,73.81,69,5,9.64,1644596013
kannangad,IN,12.3081,75.1063,76.68,70,23,3.94,1644596014
san cristobal,VE,7.7669,-72.225,66.38,62,84,3.85,1644596014
hofn,IS,64.2539,-15.2082,32.29,58,100,13.0,1644595897
swift current,CA,50.2834,-107.8014,17.15,89,100,10.33,1644596014
buin,CL,-33.7333,-70.75,78.06,35,13,7.18,1644596015
grande-synthe,FR,51.0154,2.2998,47.17,69,5,2.28,1644596015
ixtapa,MX,20.7,-105.2,67.23,52,0,8.05,1644596015
zhanaozen,KZ,43.3,52.8,37.38,71,100,12.26,1644596015
qaqortoq,GL,60.7167,-46.0333,25.3,67,100,5.91,1644596016
praia da vitoria,PT,38.7333,-27.0667,61.75,77,49,6.67,1644596016
karlskrona,SE,56.1616,15.5866,37.85,59,34,13.69,1644596016
thinadhoo,MV,0.5333,72.9333,82.06,70,100,5.84,1644596017
tiksi,RU,71.6872,128.8694,-11.78,93,96,14.12,1644596017
kirkwall,GB,58.9848,-2.9587,39.54,81,20,11.5,1644596017
bathsheba,BB,13.2167,-59.5167,84.81,54,20,26.46,1644596018
cabo san lucas,MX,22.8909,-109.9124,68.31,59,0,5.75,1644596018
vandra,EE,58.6481,25.0361,30.18,93,35,5.28,1644596018
itoman,JP,26.1247,127.6694,66.22,72,85,5.75,1644596018
magdagachi,RU,53.45,125.8,-9.71,95,82,3.96,1644596019
saint-felix-de-valois,CA,46.1668,-73.4324,31.5,81,96,5.01,1644596019
geraldton,AU,-28.7667,114.6,75.61,88,100,9.22,1644596019
cienfuegos,CU,22.1461,-80.4356,82.54,65,40,5.75,1644595972
rivadavia,AR,-33.1905,-68.4608,64.24,72,96,16.06,1644595842
ambilobe,MG,-13.2,49.05,74.19,95,99,2.84,1644596020
fortuna,US,40.5982,-124.1573,49.12,76,0,8.05,1644595972
aksum,ET,14.1245,38.7244,70.57,36,75,8.08,1644596020
clyde river,CA,70.4692,-68.5914,-16.37,76,100,31.07,1644596020
chioggia,IT,45.2256,12.2889,55.06,79,99,3.78,1644596021
qui nhon,VN,13.7667,109.2333,73.63,88,88,8.14,1644596021
veles,MK,41.7156,21.7756,52.25,64,0,0.67,1644596021
creel,MX,27.75,-107.6333,46.81,27,0,1.66,1644596022
shestakovo,RU,56.4915,103.96,-22.95,100,23,1.03,1644596022
college station,US,30.628,-96.3344,61.83,66,0,9.22,1644596022
bristol,US,41.8334,-71.1662,51.55,47,0,9.22,1644596022
rio claro,BR,-22.4114,-47.5614,77.11,74,75,6.82,1644596023
kahului,US,20.8947,-156.47,67.84,80,0,5.75,1644595794
imbituba,BR,-28.24,-48.6703,85.89,59,0,14.58,1644596023
marrakesh,MA,31.6315,-8.0083,68.07,34,75,4.61,1644596007
jiexiu,CN,37.0244,111.9125,34.09,47,59,3.09,1644596023
bafra,TR,41.5678,35.9069,44.38,70,0,7.78,1644596024
tumut,AU,-35.3,148.2167,61.07,78,0,3.67,1644596024
haines junction,CA,60.7522,-137.5108,6.28,98,100,2.44,1644596024
roma,US,43.2128,-75.4557,43.66,55,0,6.91,1644595783
meulaboh,ID,4.1363,96.1285,75.83,89,96,8.37,1644596025
luganville,VU,-15.5333,167.1667,78.44,82,95,5.39,1644596025
acajutla,SV,13.5928,-89.8275,86.81,49,28,4.0,1644596025
kostelec nad cernymi lesy,CZ,49.994,14.8592,41.79,61,54,15.9,1644596026
kieta,PG,-6.2167,155.6333,77.99,86,99,3.04,1644596026
turukhansk,RU,65.8167,87.9833,-19.75,90,30,4.68,1644596026
emilio carranza,MX,19.9711,-96.6114,67.69,82,97,4.5,1644596026
port lincoln,AU,-34.7333,135.8667,62.76,78,0,15.41,1644596027
liepaja,LV,56.5419,21.0367,37.38,81,100,8.05,1644596027
jalu,LY,29.0331,21.5482,59.23,42,0,7.11,1644596027
mitsamiouli,KM,-11.3847,43.2844,78.03,80,100,3.24,1644596028
bandarbeyla,SO,9.4942,50.8122,75.34,64,21,18.5,1644596028
dire,ML,12.2833,-10.9667,97.11,6,0,7.58,1644596028
christchurch,NZ,-43.5333,172.6333,62.91,91,100,5.75,1644595986
ixtlahuacan del rio,MX,20.8667,-103.25,58.71,38,0,2.1,1644596029
camacupa,AO,-12.0167,17.4833,73.94,60,71,6.82,1644596029
ayan,RU,56.45,138.1667,10.15,92,100,5.64,1644596029
yeppoon,AU,-23.1333,150.7333,73.18,71,9,14.65,1644596030
dingle,PH,10.9995,122.6711,75.34,89,100,7.63,1644596030
swan river,CA,52.1058,-101.2676,-18.78,95,58,2.62,1644596030
huaibei,CN,33.9744,116.7917,40.91,63,92,5.12,1644596031
nome,US,64.5011,-165.4064,-5.73,54,0,0.0,1644595976
kisiwani,TZ,-4.1333,37.95,76.59,69,75,5.84,1644596031
faanui,PF,-16.4833,-151.75,81.14,73,16,14.32,1644596031
acari,PE,-15.4311,-74.6158,80.24,60,60,10.18,1644596032
poum,NC,-20.2333,164.0167,80.4,80,100,11.54,1644596032
chara,RU,56.9064,118.2631,-26.93,85,58,1.07,1644596032
yamada,JP,39.4667,141.95,31.19,86,98,4.07,1644596032
artigas,UY,-30.4,-56.4667,99.12,17,56,8.03,1644596033
kainantu,PG,-6.2887,145.8655,58.64,95,100,3.33,1644596033
touros,BR,-5.1989,-35.4608,88.7,58,56,13.44,1644596034
swellendam,ZA,-34.0226,20.4417,80.33,47,0,11.25,1644596034
culiacan,MX,24.7994,-107.3897,66.15,56,0,5.75,1644596011
dromolaxia,CY,34.8761,33.586,58.66,61,20,5.01,1644596034
nikolskoye,RU,59.7035,30.7861,29.91,84,100,10.71,1644596035
druzhba,UA,52.0428,33.9453,31.84,92,100,7.87,1644596035
campbeltown,GB,55.4258,-5.6076,44.65,70,0,21.85,1644596035
rexburg,US,43.826,-111.7897,29.46,93,100,0.0,1644595743
nhulunbuy,AU,-12.2333,136.7667,79.41,89,76,0.0,1644596036
pundaguitan,PH,6.3711,126.1689,80.89,79,95,12.57,1644596036
nuevo progreso,MX,23.1667,-97.95,64.6,83,97,1.99,1644596036
baykit,RU,61.67,96.37,-15.48,99,11,1.88,1644596036
broken hill,AU,-31.95,141.4333,68.9,30,0,14.45,1644596037
kaduna,NG,10.5222,7.4383,91.83,6,4,6.35,1644596037
tigre,AR,-34.426,-58.5796,85.06,55,40,8.05,1644595807
tonj,SS,7.2737,28.6822,91.06,16,65,4.81,1644596037
novo aripuana,BR,-5.1206,-60.3797,77.18,94,100,1.83,1644596038
maningrida,AU,-12.0667,134.2667,80.55,81,67,8.3,1644596038
santa isabel do rio negro,BR,-0.4139,-65.0192,88.57,58,100,3.87,1644596038
gigmoto,PH,13.7796,124.39,77.68,89,98,13.02,1644596039
slavyanka,RU,42.8633,131.3847,24.01,64,19,15.66,1644596039
ransang,PH,8.9603,117.5828,79.07,81,100,2.75,1644596039
bosaso,SO,11.2842,49.1816,75.85,63,45,9.37,1644595953
vendas novas,PT,38.6771,-8.4579,69.08,40,3,6.96,1644596040
teberda,RU,43.4456,41.7448,24.94,80,54,6.38,1644596040
kingman,US,35.1894,-114.053,58.12,34,0,15.99,1644596040
lufilufi,WS,-13.8745,-171.5986,81.54,78,60,12.3,1644596041
mokshan,RU,53.4365,44.6132,31.19,98,100,4.99,1644596041
omboue,GA,-1.5746,9.2618,81.73,75,86,9.62,1644596041
bambous virieux,MU,-20.3428,57.7575,77.22,77,78,5.66,1644596042
piacabucu,BR,-10.4056,-36.4344,89.4,50,39,14.7,1644596042
corbu,RO,44.3833,28.65,51.12,71,0,6.91,1644596042
kirakira,SB,-10.4544,161.9205,78.96,88,99,11.99,1644596043
henties bay,NA,-22.116,14.2845,73.85,83,100,7.76,1644596043
la grande,US,45.3246,-118.0877,43.05,85,98,1.14,1644596043
livingston,GB,55.9029,-3.5226,41.85,77,20,10.36,1644596044
yacuiba,BO,-22.038,-63.6797,93.97,49,40,6.91,1644596044
gat,IL,31.61,34.7642,56.08,100,7,7.56,1644595935
asau,RO,46.4333,26.4,50.92,51,5,5.7,1644596044
turayf,SA,31.6725,38.6637,47.07,48,79,8.99,1644596044
rio grande,BR,-32.035,-52.0986,86.11,68,58,15.3,1644596045
barra patuca,HN,15.8,-84.2833,80.02,73,9,5.86,1644596045
ampanihy,MG,-24.7,44.75,78.89,71,73,16.26,1644596046
nampula,MZ,-15.1165,39.2666,71.64,94,100,4.76,1644596046
maceio,BR,-9.6658,-35.7353,90.84,55,75,14.97,1644595934
sikonge,TZ,-5.6333,32.7667,67.93,90,99,2.66,1644596046
ormara,PK,25.2088,64.6357,71.56,52,0,7.99,1644596046
vardo,NO,70.3705,31.1107,30.18,93,100,9.22,1644596047
kamojima,JP,34.0667,134.35,39.78,76,72,0.89,1644596047
kabare,CD,-2.4683,28.8242,65.14,91,93,2.42,1644596047
kawalu,ID,-7.3817,108.2082,74.26,92,98,1.88,1644596048
